inst,fecha,count,min,avg,max
1,"2019-01-02 00:00:00",39,5.670098,5.670098,5.670098
1,"2019-01-02 06:00:00",2369,14.51111,14.5460584415,14.569862
1,"2019-01-02 07:00:00",767,3.594811,6.8523186245,10.472304
24,"2019-01-02 07:00:00",871,5.333256,8.0625934627,9.401605
1,"2019-01-02 08:00:00",360,2.487427,8.1308145889,12.58117
1,"2019-01-02 09:00:00",508,4.464786,7.7363755335,11.717937
24,"2019-01-02 09:00:00",1667,3.369286,6.4994333395,13.242958
24,"2019-01-02 10:00:00",381,3.50103,11.3362148084,14.82679
1,"2019-01-02 10:00:00",124,4.510189,10.2526645806,14.352184
24,"2019-01-02 11:00:00",387,4.082685,10.7439017003,35.78533
1,"2019-01-02 11:00:00",203,3.80583,13.5020457488,37.682782
24,"2019-01-02 12:00:00",269,4.006122,16.7303054015,52.448018
1,"2019-01-02 12:00:00",701,1.593564,12.8490869215,47.507275
1,"2019-01-02 13:00:00",373,2.708205,8.2312247051,17.523663
24,"2019-01-02 13:00:00",794,3.801323,11.0961428741,20.189333
1,"2019-01-02 14:00:00",232,3.702726,10.6241719526,23.565822
24,"2019-01-02 14:00:00",255,4.252723,9.6322784235,33.411379
24,"2019-01-02 15:00:00",348,4.946082,9.8970129483,19.785925
1,"2019-01-02 15:00:00",482,3.166213,10.8841602552,17.438911
1,"2019-01-02 16:00:00",115,4.463001,10.8284872609,18.818689
24,"2019-01-02 16:00:00",271,3.588718,10.2985984539,18.875343
24,"2019-01-02 17:00:00",295,3.267383,9.4277360271,21.174179
1,"2019-01-02 17:00:00",144,3.237344,9.3873121944,21.364584
24,"2019-01-02 18:00:00",282,3.275239,9.6214757376,19.054216
1,"2019-01-02 18:00:00",379,1.444626,8.3006952322,17.153022
24,"2019-01-02 19:00:00",476,2.439591,9.0655846639,15.09507
1,"2019-01-02 19:00:00",192,3.507188,9.9304353438,20.501269
24,"2019-01-02 20:00:00",108,3.249094,6.7729016296,15.274391
1,"2019-01-02 20:00:00",147,3.2694,7.8470264014,14.835746
24,"2019-01-02 21:00:00",33,5.596671,7.9339758485,10.424475
1,"2019-01-02 21:00:00",326,4.051695,7.3767162669,13.459658
24,"2019-01-03 00:00:00",36,8.530201,8.530201,8.530201
1,"2019-01-03 00:00:00",41,7.493783,7.493783,7.493783
24,"2019-01-03 01:00:00",16,10.365278,10.365288,10.365298
1,"2019-01-03 01:00:00",14,10.358804,10.430248,11.358876
24,"2019-01-03 05:00:00",903,3.896169,3.8988900299,3.903689
24,"2019-01-03 06:00:00",1236,5.018244,7.6877437702,11.965794
1,"2019-01-03 06:00:00",1119,6.417829,10.210422521,11.766781
1,"2019-01-03 07:00:00",60,11.776132,256.3827477333,283.336436
1,"2019-01-03 08:00:00",176,14.026477,14.1329008068,17.148242
24,"2019-01-03 08:00:00",4424,4.434343,16.6670157719,24.280181
24,"2019-01-03 09:00:00",6628,5.326483,11.8411542029,16.68296
1,"2019-01-03 09:00:00",368,5.414627,10.1220898342,20.968482
24,"2019-01-03 10:00:00",2006,3.453974,119.9265457393,200.270657
1,"2019-01-03 10:00:00",913,9.380232,79.3802153549,180.405744
24,"2019-01-03 11:00:00",652,119.824114,235.6033711994,429.007593
1,"2019-01-03 11:00:00",203,118.577423,269.2280255468,436.462038
24,"2019-01-03 12:00:00",2159,4.487445,54.413532283,288.079861
1,"2019-01-03 12:00:00",191,5.558379,69.6795698272,275.567574
1,"2019-01-03 13:00:00",234,5.335456,12.9991635427,46.633084
24,"2019-01-03 13:00:00",653,7.036199,13.274263193,45.140362
1,"2019-01-03 14:00:00",258,4.079188,13.4690518992,41.801591
24,"2019-01-03 14:00:00",1047,5.096695,12.3982040898,46.77744
24,"2019-01-03 15:00:00",273,4.87514,10.869812641,30.362548
1,"2019-01-03 15:00:00",349,5.72888,11.756720702,23.401481
24,"2019-01-03 16:00:00",326,3.671482,11.3874988098,41.961139
1,"2019-01-03 16:00:00",235,3.792441,10.2398393745,38.614582
24,"2019-01-03 17:00:00",354,4.046404,9.7179172006,18.916252
1,"2019-01-03 17:00:00",187,4.672637,10.8554916845,19.876267
24,"2019-01-03 18:00:00",230,3.509449,9.765682413,20.039986
1,"2019-01-03 18:00:00",172,3.611448,10.0087628023,19.745944
1,"2019-01-03 19:00:00",202,3.429433,8.8046753911,17.521449
24,"2019-01-03 19:00:00",380,3.00139,8.0102592605,14.979117
